# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   2.362509E+03   1.867834E+18   2.809615E+18
   2.417594E+03   1.927787E+18   2.899861E+18
   2.473964E+03   1.989855E+18   2.993297E+18
   2.531649E+03   2.054122E+18   3.090046E+18
   2.590678E+03   2.120670E+18   3.190230E+18
   2.651084E+03   2.189583E+18   3.293983E+18
   2.712898E+03   2.260956E+18   3.401437E+18
   2.776154E+03   2.334881E+18   3.512735E+18
   2.840884E+03   2.411456E+18   3.628023E+18
   2.907124E+03   2.490778E+18   3.747451E+18
   2.974908E+03   2.572950E+18   3.871179E+18
   3.044272E+03   2.658079E+18   3.999371E+18
   3.115254E+03   2.746278E+18   4.132196E+18
   3.187891E+03   2.837670E+18   4.269831E+18
   3.262222E+03   2.932373E+18   4.412462E+18
   3.338286E+03   3.030515E+18   4.560278E+18
   3.416123E+03   3.132230E+18   4.713478E+18
   3.495775E+03   3.237656E+18   4.872270E+18
   3.577285E+03   3.346933E+18   5.036866E+18
   3.660695E+03   3.460208E+18   5.207491E+18
   3.746050E+03   3.577629E+18   5.384375E+18
   3.833395E+03   3.699354E+18   5.567759E+18
   3.922776E+03   3.825549E+18   5.757893E+18
   4.014242E+03   3.956393E+18   5.955037E+18
   4.107840E+03   4.092059E+18   6.159459E+18
   4.203621E+03   4.232734E+18   6.371441E+18
   4.301635E+03   4.378614E+18   6.591273E+18
   4.401934E+03   4.529901E+18   6.819258E+18
   4.504572E+03   4.686801E+18   7.055710E+18
   4.609603E+03   4.849526E+18   7.300956E+18
   4.717084E+03   5.018298E+18   7.555335E+18
   4.827070E+03   5.193347E+18   7.819199E+18
   4.939620E+03   5.374914E+18   8.092914E+18
   5.054795E+03   5.563261E+18   8.376860E+18
   5.172656E+03   5.758642E+18   8.671433E+18
   5.293264E+03   5.961331E+18   8.977043E+18
   5.416685E+03   6.171613E+18   9.294117E+18
   5.542984E+03   6.389782E+18   9.623096E+18
   5.672231E+03   6.616149E+18   9.964453E+18
   5.804488E+03   6.851010E+18   1.031864E+19
   5.939829E+03   7.094696E+18   1.068618E+19
   6.078325E+03   7.347544E+18   1.106757E+19
   6.220051E+03   7.609909E+18   1.146335E+19
   6.365081E+03   7.882168E+18   1.187408E+19
   6.513493E+03   8.164697E+18   1.230034E+19
   6.665365E+03   8.457893E+18   1.274273E+19
   6.820778E+03   8.762175E+18   1.320187E+19
   6.979815E+03   9.077971E+18   1.367842E+19
   7.142561E+03   9.405723E+18   1.417303E+19
   7.309101E+03   9.745887E+18   1.468643E+19
   7.479524E+03   1.009894E+19   1.521932E+19
   7.653921E+03   1.046537E+19   1.577247E+19
   7.832384E+03   1.084569E+19   1.634666E+19
   8.015008E+03   1.124047E+19   1.694270E+19
   8.201890E+03   1.165024E+19   1.756144E+19
   8.393130E+03   1.207558E+19   1.820377E+19
   8.588829E+03   1.251712E+19   1.887058E+19
   8.789091E+03   1.297546E+19   1.956284E+19
   8.994023E+03   1.345126E+19   2.028153E+19
   9.203732E+03   1.394519E+19   2.102766E+19
   9.418332E+03   1.445794E+19   2.180231E+19
   9.637935E+03   1.499022E+19   2.260657E+19
   9.862659E+03   1.554280E+19   2.344160E+19
   1.009262E+04   1.611647E+19   2.430859E+19
   1.032795E+04   1.671204E+19   2.520877E+19
   1.056876E+04   1.733036E+19   2.614342E+19
   1.081519E+04   1.797230E+19   2.711390E+19
   1.106736E+04   1.863880E+19   2.812157E+19
   1.132541E+04   1.933078E+19   2.916789E+19
   1.158948E+04   2.004923E+19   3.025435E+19
   1.185971E+04   2.079516E+19   3.138251E+19
   1.213624E+04   2.156962E+19   3.255398E+19
   1.241921E+04   2.237371E+19   3.377043E+19
   1.270879E+04   2.320860E+19   3.503362E+19
   1.300511E+04   2.407545E+19   3.634535E+19
   1.330834E+04   2.497552E+19   3.770750E+19
   1.361865E+04   2.591009E+19   3.912203E+19
   1.393619E+04   2.688050E+19   4.059097E+19
   1.426113E+04   2.788811E+19   4.211641E+19
   1.459365E+04   2.893436E+19   4.370056E+19
